Angulo,Calado,Rotacao,Vw,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,fx_rotores,fy_rotores,fx_casco_sup,fx,Lift_popa_bom,Lift_popa_bor,Lift_proa_bom,Lift_proa_bor,Drag_popa_bom,Drag_popa_bor,Drag_proa_bom,Drag_proa_bor,CL_popa_bom,CL_popa_bor,CL_proa_bom,CL_proa_bor,CD_popa_bom,CD_popa_bor,CD_proa_bom,CD_proa_bor,Media LIFT,Media DRAG,Mz_popa_bom,Mz_popa_bor,Mz_proa_bom,Mz_proa_bor,Mz_rotor,c_x,P_popa_bom,P_popa_bor,P_proa_bom,P_proa_bor,Pcons
0,8.5,100,6,9137,9702,12114,9882,-20489,-21495,-20634,-21059,9.1,9.7,12.1,9.9,-20.5,-21.5,-20.6,-21.1,40.8,-83.7,16.8,57.6,20.5,21.5,20.6,21.1,9.1,9.7,12.1,9.9,5.4,5.7,5.5,5.6,2.4,2.6,3.2,2.6,20.9,10.2,-2246.3,-2149.5,-2246.2,-2050.5,8692.5,2.701,26136.8873250324,25010.5681810787,26135.7237721978,23858.6508747625,134.855773537429
0,8.5,100,10,19470,23327,33629,30226,-64358,-51751,-37886,-54062,19.5,23.3,33.6,30.2,-64.4,-51.8,-37.9,-54.1,106.7,-208.1,43.5,150.2,64.4,51.8,37.9,54.1,19.5,23.3,33.6,30.2,6.1,4.9,3.6,5.1,1.9,2.2,3.2,2.9,52.0,26.7,-2009.5,-2190,-2220.6,-2227.1,8647.2,2.539,23381.5942125507,25481.8070791172,25837.8542465241,25913.4851807771,134.152987625292
0,8.5,100,12,20251,28101,40301,37446,-80261,-71552,-52481,-73515,20.3,28.1,40.3,37.4,-80.3,-71.6,-52.5,-73.5,126.1,-277.8,66.2,192.3,80.3,71.6,52.5,73.5,20.3,28.1,40.3,37.4,5.3,4.7,3.5,4.9,1.3,1.9,2.7,2.5,69.5,31.5,-1918.4,-2223.9,-2262.7,-2613,9018,2.085,22321.5975801728,25876.2514900679,26327.7099899171,30403.6355697412,139.905592839865
0,8.5,180,6,7769,7147,11847,5782,-14845,-15679,-22501,-17440,7.8,7.1,11.8,5.8,-14.8,-15.7,-22.5,-17.4,32.5,-70.5,20.7,53.2,14.8,15.7,22.5,17.4,7.8,7.1,11.8,5.8,3.9,4.1,6.0,4.6,2.1,1.9,3.1,1.5,17.6,8.1,-7196.7,-7159.8,-6969.4,-7210.4,28536.3,2.152,150727.332333931,149954.500541148,145966.772266191,151014.264462959,796.883826138973
0,8.5,180,10,20360,25660,33580,34640,-54210,-52670,-35640,-53740,20.4,25.7,33.6,34.6,-54.2,-52.7,-35.6,-53.7,114.2,-196.3,45.0,159.2,54.2,52.7,35.6,53.7,20.4,25.7,33.6,34.6,5.2,5.0,3.4,5.1,1.9,2.4,3.2,3.3,49.1,28.6,-6616.8,-6620.6,-6788.6,-6355.6,26381.6,2.720,138581.935135153,138661.522149044,142180.105921064,133111.375127702,736.713251110618
0,8.5,180,12,30809,35470,51604,52212,-84345,-79048,-54962,-86161,30.8,35.5,51.6,52.2,-84.3,-79.0,-55.0,-86.2,170.1,-304.5,65.3,235.4,84.3,79.0,55.0,86.2,30.8,35.5,51.6,52.2,5.6,5.2,3.6,5.7,2.0,2.3,3.4,3.5,76.1,42.5,-6263.7,-6435.7,-6506.9,-6789.6,25995.9,2.812,131186.626028603,134788.985604719,136280.194917623,142201.049872088,725.94247523071
0,16,100,6,9387,8512,11425,13097,-23530,-19424,-19527,-17962,9.4,8.5,11.4,13.1,-18.0,-19.4,-19.5,-18.0,42.4,-74.9,17.7,60.1,18.0,19.4,19.5,18.0,9.4,8.5,11.4,13.1,4.8,5.1,5.2,4.8,2.5,2.3,3.0,3.5,18.7,10.6,-2260.9,-2225.2,-2255.1,-2088.7,8829.9,2.806,26306.7660388932,25891.3776769185,26239.2799744827,24303.1280576037,136.987402330531
0,16,100,10,19582,21687,34364,31570,-66510,-49306,-36452,-57041,19.6,21.7,34.4,31.6,-66.5,-49.3,-36.5,-57.0,107.2,-209.3,37.9,145.1,66.5,49.3,36.5,57.0,19.6,21.7,34.4,31.6,6.3,4.7,3.5,5.4,1.9,2.1,3.3,3.0,52.3,26.8,-2037,-2194.2,-2281.4,-2156.1,8668.7,2.552,23701.571242083,25530.6762981731,26545.2943699991,25087.3626681665,134.486539437896
0,16,100,12,21476,27447,38003,35131,-89803,-70000,-51339,-73585,21.5,27.4,38.0,35.1,-89.8,-70.0,-51.3,-73.6,122.1,-284.7,54.3,176.3,89.8,70.0,51.3,73.6,21.5,27.4,38.0,35.1,5.9,4.6,3.4,4.9,1.4,1.8,2.5,2.3,71.2,30.5,-1893.9,-2321,-2329.4,-2511,9055.3,2.018,22036.5271356804,27006.0612925256,27103.7997306373,29216.8116783851,140.484266449638
0,16,180,6,10664,8021,9036,6562,-20702,-16457,-18424,-16704,10.7,8.0,9.0,6.6,-20.7,-16.5,-18.4,-16.7,34.3,-72.3,18.5,52.8,20.7,16.5,18.4,16.7,10.7,8.0,9.0,6.6,5.5,4.4,4.9,4.4,2.8,2.1,2.4,1.7,18.1,8.6,-7170.3,-7192.6,-7188.4,-7121.3,28672.6,2.267,150174.412026899,150641.462134733,150553.497540432,149148.158426727,800.690040171722
0,16,180,10,19243,23293,32194,35899,-55302,-52251,-38888,-57788,19.2,23.3,32.2,35.9,-55.3,-52.3,-38.9,-57.8,110.6,-204.2,37.7,148.4,55.3,52.3,38.9,57.8,19.2,23.3,32.2,35.9,5.3,5.0,3.7,5.5,1.8,2.2,3.1,3.4,51.1,27.7,-6831.3,-6773.3,-6923.7,-6172,26700.3,2.634,143074.412629786,141859.663470398,145009.633704398,129266.065719708,745.613034032387
0,16,180,12,22837,24531,40368,35990,-86568,-91798,-60179,-91913,22.8,24.5,40.4,36.0,-86.6,-91.8,-60.2,-91.9,123.7,-330.5,55.4,179.1,86.6,91.8,60.2,91.9,22.8,24.5,40.4,36.0,5.7,6.1,4.0,6.1,1.5,1.6,2.7,2.4,82.6,30.9,-6352,-6433,-6959,-6273,26017,2.046,133035.976904016,134732.436936954,145748.955175542,131381.404773125,726.531698386184
